sentence, rc_startpos, rc_length, subj_num
the fish that was hated by the quite short toddler and the preschoolers satisfied the really witty child last month .,2,11,singular
the quite famous papers that were quickly read by the competent nurse and the physicians spread the information .,4,11,plural
the interesting letter that was answered by the quite talented secretary encouraged the gathering .,3,8,singular
the achievement that was happily celebrated by the talented employee destroyed the rebellion .,2,8,singular
the rather famous equation that was introduced by the nurse challenged the rather convenient procedure .,4,6,singular
the extremely famous rebellion that was wearily joined by my rather cheerful partner misled the employee last week .,4,9,singular
the fierce revolution that was last month watched by the principals and the director shaped the budget .,3,11,singular
the talented politicians that were happily phoned by the competent secretary presented the budget sadly .,3,8,plural
the employee that was last month encouraged by the politician obeyed the extremely competent principal .,2,8,singular
the extremely disastrous gas that was gloomily inhaled by the preschooler harmed the really startled giraffe last week .,4,7,singular
my colleague that was married by my witty partners and my really chubby cousin wanted the dessert last week .,2,12,singular
the guardian that was last month hit by the child and the preschooler refused the really tasty dessert .,2,11,singular
the famous procedure that was taught by the quite timid researcher improved the extremely famous equation gloomily .,3,8,singular
the short guardians that were last month ignored by the toddler and the cheerful preschooler folded the green shirt .,3,12,plural
my cousin that was phoned by the competent clerk cut the shirt happily .,2,7,singular
my really timid cousin that was happily accompanied by the chubby children planned the quite scary rebellion last month .,4,8,singular
the quite famous procedure that was happily reviewed by the talented physician and the researcher improved the equation happily .,4,11,singular
the quite driven team that was gloomily avoided by the director and the competent principals endorsed the scandalous rebellion .,4,11,singular
the really obnoxious politician that was worshiped by the gathering proposed the interesting budget .,4,6,singular
my colleague that was fancied by my partner filled the rather shiny bottle efficiently .,2,6,singular
my cousins that were married by my partner and my colleagues approached the famous library quickly .,2,9,plural
the children that were happily accompanied by my partner colored the sculpture efficiently .,2,7,plural
the novel that was enjoyed by the uptight teenagers helped the extremely famous rebellion last week .,2,7,singular
the devices that were efficiently installed by the museum polluted the gorgeous region .,2,7,plural
the quite famous principle that was misused by the really talented nurse fixed the flaw promptly .,4,8,singular
the rather timid employee that was last week misled by the quite outrageous policy and the strategy betrayed the uptight politician last week .,4,13,singular
the child that was last week envied by the actors sorted the coin .,2,8,singular
my uptight partner that was happily phoned by the assistant deleted the famous paper gloomily .,3,7,singular
the timid guardian that was last week hit by the preschooler framed the photograph happily .,3,8,singular
the outrageous article that was read by the timid scientists and the competent researcher spread the interesting information quickly .,3,11,singular
the victory that was celebrated by the competent principal destroyed the extremely famous rebellion quickly .,2,7,singular
the parent that was last month accompanied by the guardians opened the door .,2,8,singular
the gathering that was last week misled by the outrageous policy endorsed the rather fierce rebellion happily .,2,9,singular
my cousin that was married by my young colleagues joined the rebellion happily .,2,7,singular
the disastrous fragrance that was smelled by the quite cheerful child and the witty preschoolers killed the giraffe quickly .,3,12,singular
the extremely convenient principles that were efficiently invented by the scientist and the extremely cheerful researcher improved the famous equation .,4,12,plural
the cheerful toddler that was last month envied by the uptight teenagers and the actor created the gorgeous sculpture .,3,12,singular
