sentence, rc_startpos, rc_length, subj_num
the fish hated by the quite short toddler and the preschoolers satisfied the really witty child last month .,2,9,singular
the quite famous papers quickly read by the competent nurse and the physicians spread the information .,4,9,plural
the interesting letter answered by the quite talented secretary encouraged the gathering .,3,6,singular
the achievement happily celebrated by the talented employee destroyed the rebellion .,2,6,singular
the rather famous equation introduced by the nurse challenged the rather convenient procedure .,4,4,singular
the extremely famous rebellion wearily joined by my rather cheerful partner misled the employee last week .,4,7,singular
the fierce revolution last month watched by the principals and the director shaped the budget .,3,9,singular
the talented politicians happily phoned by the competent secretary presented the budget sadly .,3,6,plural
the employee last month encouraged by the politician obeyed the extremely competent principal .,2,6,singular
the extremely disastrous gas gloomily inhaled by the preschooler harmed the really startled giraffe last week .,4,5,singular
my colleague married by my witty partners and my really chubby cousin wanted the dessert last week .,2,10,singular
the guardian last month hit by the child and the preschooler refused the really tasty dessert .,2,9,singular
the famous procedure taught by the quite timid researcher improved the extremely famous equation gloomily .,3,6,singular
the short guardians last month ignored by the toddler and the cheerful preschooler folded the green shirt .,3,10,plural
my cousin phoned by the competent clerk cut the shirt happily .,2,5,singular
my really timid cousin happily accompanied by the chubby children planned the quite scary rebellion last month .,4,6,singular
the quite famous procedure happily reviewed by the talented physician and the researcher improved the equation happily .,4,9,singular
the quite driven team gloomily avoided by the director and the competent principals endorsed the scandalous rebellion .,4,9,singular
the really obnoxious politician worshiped by the gathering proposed the interesting budget .,4,4,singular
my colleague fancied by my partner filled the rather shiny bottle efficiently .,2,4,singular
my cousins married by my partner and my colleagues approached the famous library quickly .,2,7,plural
the children happily accompanied by my partner colored the sculpture efficiently .,2,5,plural
the novel enjoyed by the uptight teenagers helped the extremely famous rebellion last week .,2,5,singular
the devices efficiently installed by the museum polluted the gorgeous region .,2,5,plural
the quite famous principle misused by the really talented nurse fixed the flaw promptly .,4,6,singular
the rather timid employee last week misled by the quite outrageous policy and the strategy betrayed the uptight politician last week .,4,11,singular
the child last week envied by the actors sorted the coin .,2,6,singular
my uptight partner happily phoned by the assistant deleted the famous paper gloomily .,3,5,singular
the timid guardian last week hit by the preschooler framed the photograph happily .,3,6,singular
the outrageous article read by the timid scientists and the competent researcher spread the interesting information quickly .,3,9,singular
the victory celebrated by the competent principal destroyed the extremely famous rebellion quickly .,2,5,singular
the parent last month accompanied by the guardians opened the door .,2,6,singular
the gathering last week misled by the outrageous policy endorsed the rather fierce rebellion happily .,2,7,singular
my cousin married by my young colleagues joined the rebellion happily .,2,5,singular
the disastrous fragrance smelled by the quite cheerful child and the witty preschoolers killed the giraffe quickly .,3,10,singular
the extremely convenient principles efficiently invented by the scientist and the extremely cheerful researcher improved the famous equation .,4,10,plural
the cheerful toddler last month envied by the uptight teenagers and the actor created the gorgeous sculpture .,3,10,singular
the employee last month encouraged by the driven directors celebrated the victory .,2,7,singular
my short partners last week fancied by my colleague lost the majestic photograph last month .,3,6,plural
my colleagues phoned by the competent secretary filled the bottle .,2,5,plural
the extremely outrageous revolution last week observed by the director shaped the budget .,4,6,singular
the really convenient procedure reused by the rather nervous researcher and the scientist fixed the disastrous flaw .,4,9,singular
the fish chewed by my short cousin satisfied the toddler .,2,5,singular
