sentence, rc_startpos, rc_length, subj_num
the fish that the quite short toddler and the preschoolers hated satisfied the really witty child last month .,2,9,singular
the quite famous papers that the competent nurse and the physicians quickly read spread the information .,4,9,plural
the interesting letter that the quite talented secretary answered encouraged the gathering .,3,6,singular
the achievement that the talented employee happily celebrated destroyed the rebellion .,2,6,singular
the rather famous equation that the nurse introduced challenged the rather convenient procedure .,4,4,singular
the extremely famous rebellion that my rather cheerful partner wearily joined misled the employee last week .,4,7,singular
the fierce revolution that the principals and the director last month watched shaped the budget .,3,9,singular
the talented politicians that the competent secretary happily phoned presented the budget sadly .,3,6,plural
the employee that the politician last month encouraged obeyed the extremely competent principal .,2,6,singular
the extremely disastrous gas that the preschooler gloomily inhaled harmed the really startled giraffe last week .,4,5,singular
my colleague that my witty partners and my really chubby cousin married wanted the dessert last week .,2,10,singular
the guardian that the child and the preschooler last month hit refused the really tasty dessert .,2,9,singular
the famous procedure that the quite timid researcher taught improved the extremely famous equation gloomily .,3,6,singular
the short guardians that the toddler and the cheerful preschooler last month ignored folded the green shirt .,3,10,plural
my cousin that the competent clerk phoned cut the shirt happily .,2,5,singular
my really timid cousin that the chubby children happily accompanied planned the quite scary rebellion last month .,4,6,singular
the quite famous procedure that the talented physician and the researcher happily reviewed improved the equation happily .,4,9,singular
the quite driven team that the director and the competent principals gloomily avoided endorsed the scandalous rebellion .,4,9,singular
the really obnoxious politician that the gathering worshiped proposed the interesting budget .,4,4,singular
my colleague that my partner fancied filled the rather shiny bottle efficiently .,2,4,singular
my cousins that my partner and my colleagues married approached the famous library quickly .,2,7,plural
the children that my partner happily accompanied colored the sculpture efficiently .,2,5,plural
the novel that the uptight teenagers enjoyed helped the extremely famous rebellion last week .,2,5,singular
the devices that the museum efficiently installed polluted the gorgeous region .,2,5,plural
the quite famous principle that the really talented nurse misused fixed the flaw promptly .,4,6,singular
the rather timid employee that the quite outrageous policy and the strategy last week misled betrayed the uptight politician last week .,4,11,singular
the child that the actors last week envied sorted the coin .,2,6,singular
my uptight partner that the assistant happily phoned deleted the famous paper gloomily .,3,5,singular
the timid guardian that the preschooler last week hit framed the photograph happily .,3,6,singular
the outrageous article that the timid scientists and the competent researcher read spread the interesting information quickly .,3,9,singular
the victory that the competent principal celebrated destroyed the extremely famous rebellion quickly .,2,5,singular
the parent that the guardians last month accompanied opened the door .,2,6,singular
the gathering that the outrageous policy last week misled endorsed the rather fierce rebellion happily .,2,7,singular
my cousin that my young colleagues married joined the rebellion happily .,2,5,singular
the disastrous fragrance that the quite cheerful child and the witty preschoolers smelled killed the giraffe quickly .,3,10,singular
the extremely convenient principles that the scientist and the extremely cheerful researcher efficiently invented improved the famous equation .,4,10,plural
the cheerful toddler that the uptight teenagers and the actor last month envied created the gorgeous sculpture .,3,10,singular
the employee that the driven directors last month encouraged celebrated the victory .,2,7,singular
my short partners that my colleague last week fancied lost the majestic photograph last month .,3,6,plural
my colleagues that the competent secretary phoned filled the bottle .,2,5,plural
the extremely outrageous revolution that the director last week observed shaped the budget .,4,6,singular
the really convenient procedure that the rather nervous researcher and the scientist reused fixed the disastrous flaw .,4,9,singular
the fish that my short cousin chewed satisfied the toddler .,2,5,singular
the timid parent that the witty preschooler and the nervous child last month ignored confiscated the coin .,3,11,singular
the gas that the timid waitress last week inhaled harmed the giraffe .,2,7,singular
my partner that my colleague fancied hung the yellow shirt last week .,2,4,singular
my partner that my quite chubby cousin fancied joined the revolution .,2,6,singular
the employees that the policy last week misled betrayed the uptight politician .,2,6,plural
the quite cheerful children that the actor and the student last week envied tied the string efficiently .,4,9,plural
the obnoxious politician that the competent gathering betrayed helped the revolution last month .,3,5,singular
my young partner that my obnoxious colleague happily married deleted the famous book .,3,6,singular
the principle that the physician last month reused fixed the flaw quickly .,2,6,singular
the scandalous policies that the quite timid clerk happily suggested supported the revolution sadly .,3,7,plural
the rather witty guardian that the quite timid children last month hit sorted the shiny coin happily .,4,8,singular
the child that the cheerful actors last month envied hated the coin last week .,2,7,singular
the gathering that the scandalous strategies and the strategies misled welcomed the outrageous truth .,2,8,singular
the gas that the parent and the really witty guardians gloomily inhaled polluted the quite majestic region last month .,2,10,singular
the convenient principle that the scientists quickly studied improved the equation .,3,5,singular
the really convenient formula that the scientist received challenged the famous principle .,4,4,singular
the employees that the uptight politician and the principals last month avoided obeyed the director happily .,2,10,plural
the timid preschooler that the actor envied hated the coin last week .,3,4,singular
the disastrous gas that the preschooler happily smelled harmed the startled giraffe last week .,3,5,singular
the witty parent that the toddlers hit covered the shiny bottle .,3,4,singular
the quite famous principle that the witty physician misused improved the really famous equation gloomily .,4,5,singular
the startled gathering that the politician avoided obeyed the principal happily .,3,4,singular
my rather uptight cousin that the secretaries and the quite competent clerks phoned painted the yellow door .,4,9,singular
the guardian that the witty preschoolers happily hugged tied the yellow string efficiently .,2,6,singular
the principle that the really cheerful nurse and the fierce scientist studied improved the extremely famous equation .,2,10,singular
the rather disastrous fragrance that my obnoxious colleague and my rather witty cousins last week inhaled polluted the region .,4,12,singular
the directors that the timid gathering worshiped joined the outrageous revolution happily .,2,5,plural
the disastrous fragrance that the child happily smelled harmed the giraffe .,3,5,singular
the rebellion that the gorgeous country happily endorsed shaped the budget last week .,2,6,singular
the novel that the really short preschooler and the nervous toddlers gloomily colored misled the startled employee last month .,2,11,singular
my obnoxious partner that my cousin and my quite chubby colleague sadly married deleted the rather outrageous book .,3,10,singular
my colleagues that my cousin and my colleagues fancied folded the shirt happily .,2,7,plural
the famous principle that the quite timid scientist gloomily introduced fixed the flaw .,3,7,singular
my witty colleague that my partners and my partner married approached the famous museum happily .,3,7,singular
the guardian that the child ignored sorted the coin efficiently .,2,4,singular
the bottles that the witty guardian and the chubby parents quickly covered satisfied my really short cousin last month .,2,10,plural
my obnoxious cousin that the quite timid parents wearily accompanied planned the movement .,3,7,singular
the rather startled gathering that the obnoxious politician encouraged worshiped the uptight principal .,4,5,singular
the preschooler that my colleagues and my chubby colleagues accompanied valued the extremely yellow butterfly last month .,2,8,singular
the extremely famous book that my partners and my cousin deleted spread the information .,4,7,singular
the fumes that the toddlers happily smelled polluted the really gorgeous region quickly .,2,5,singular
