sentence, rc_startpos, rc_length, subj_num
the fish hated the quite short toddler and the preschoolers and satisfied the really witty child last month .,10,1,singular
the quite famous papers quickly read the competent nurse and the physicians and spread the information .,12,1,plural
the interesting letter answered the quite talented secretary and encouraged the gathering .,8,1,singular
the achievement happily celebrated the talented employee and destroyed the rebellion .,7,1,singular
the rather famous equation introduced the nurse and challenged the rather convenient procedure .,7,1,singular
the extremely famous rebellion wearily joined my rather cheerful partner and misled the employee last week .,10,1,singular
the fierce revolution last month watched the principals and the director and shaped the budget .,11,1,singular
the talented politicians happily phoned the competent secretary and presented the budget sadly .,8,1,plural
the employee last month encouraged the politician and obeyed the extremely competent principal .,7,1,singular
the extremely disastrous gas gloomily inhaled the preschooler and harmed the really startled giraffe last week .,8,1,singular
my colleague married my witty partners and my really chubby cousin and wanted the dessert last week .,11,1,singular
the guardian last month hit the child and the preschooler and refused the really tasty dessert .,10,1,singular
the famous procedure taught the quite timid researcher and improved the extremely famous equation gloomily .,8,1,singular
the short guardians last month ignored the toddler and the cheerful preschooler and folded the green shirt .,12,1,plural
my cousin phoned the competent clerk and cut the shirt happily .,6,1,singular
my really timid cousin happily accompanied the chubby children and planned the quite scary rebellion last month .,9,1,singular
the quite famous procedure happily reviewed the talented physician and the researcher and improved the equation happily .,12,1,singular
the quite driven team gloomily avoided the director and the competent principals and endorsed the scandalous rebellion .,12,1,singular
the really obnoxious politician worshiped the gathering and proposed the interesting budget .,7,1,singular
my colleague fancied my partner and filled the rather shiny bottle efficiently .,5,1,singular
my cousins married my partner and my colleagues and approached the famous library quickly .,8,1,plural
the children happily accompanied my partner and colored the sculpture efficiently .,6,1,plural
the novel enjoyed the uptight teenagers and helped the extremely famous rebellion last week .,6,1,singular
the devices efficiently installed the museum and polluted the gorgeous region .,6,1,plural
the quite famous principle misused the really talented nurse and fixed the flaw promptly .,9,1,singular
the rather timid employee last week misled the quite outrageous policy and the strategy and betrayed the uptight politician last week .,14,1,singular
the child last week envied the actors and sorted the coin .,7,1,singular
my uptight partner happily phoned the assistant and deleted the famous paper gloomily .,7,1,singular
