sentence, rc_startpos, rc_length, subj_num
the quite short toddler hated the fish and the potatoes by the river and healed the cats quickly .,13,4,singular
the competent nurse quickly read the quite famous papers and the papers by the river and conveyed the information .,15,4,singular
the quite talented secretary answered the interesting letter by himself and lost the photographs last week .,10,3,singular
the talented employee happily celebrated the achievement by the river and worshiped the extremely uptight principals .,10,4,singular
the nurse introduced the rather famous equation by himself and invented the rather famous formulae .,9,3,singular
my rather cheerful partner wearily joined the extremely famous rebellion by the artist and burned the gorgeous photograph gloomily .,13,4,singular
the principals last month watched the fierce revolution and the rebellion by the artist and warned the extremely outrageous movement wearily .,14,4,plural
the competent secretary happily phoned the talented politicians by the end of the day and guarded the budgets .,14,7,singular
the politician last month encouraged the employee little by little and supported the famous rebellion happily .,10,4,singular
the preschooler gloomily inhaled the extremely disastrous gas by mistake and chewed the rich potato .,10,3,singular
my witty partners married my colleague and my witty cousins by the end of the day and fancied my extremely short cousins .,16,7,plural
the child last month hit the guardian and the rather cheerful parent by himself and valued the really green butterfly .,14,3,singular
the quite timid researcher taught the famous procedure by himself and reviewed the equation efficiently .,10,3,singular
the toddler last month ignored the short guardians and the witty guardian by the river and hugged the young parent happily .,15,4,singular
the competent clerk phoned my cousin by the end of the day and resolved the really disastrous flaws .,12,7,singular
the chubby children happily accompanied my really timid cousin by themselves and saved the cat .,11,3,plural
the talented physician happily reviewed the quite famous procedure and the principle by himself and improved the equation sadly .,14,3,singular
the director gloomily avoided the quite driven team and the gathering by the artist and watched the scary rebellion last week .,14,4,singular
the gathering worshiped the really obnoxious politician by the end of the day and welcomed the scandalous truth .,13,7,singular
my partner fancied my colleague by the river and hung the quite yellow shirts .,8,4,singular
my partner married my cousins and my colleague by the end of the day and rolled the shirt efficiently .,14,7,singular
my partner happily accompanied the children by himself and googled the rather scandalous papers promptly .,8,3,singular
the uptight teenagers enjoyed the novel by the artist and returned the outrageous paper .,9,4,plural
the museum efficiently installed the devices by the river and displayed the sculptures .,9,4,singular
the really talented nurse misused the quite famous principle by the end of the day and received the famous equation .,15,7,singular
the quite outrageous policy last week misled the rather timid employee and the competent team by the river and supported the rebellion .,18,4,singular
the actors last week envied the child by the river and discussed the majestic sculpture .,10,4,plural
the assistant happily phoned my uptight partner by the end of the day and managed the budget .,13,7,singular
the preschooler last week hit the timid guardian by himself and captured the giraffe quickly .,10,3,singular
the timid scientists read the outrageous article and the outrageous books by the end of the day and invented the really famous equations .,17,7,plural
the competent principal celebrated the victory by the river and watched the rebellion .,9,4,singular
the guardians last month accompanied the parent by themselves and framed the gorgeous photograph happily .,9,3,plural
the outrageous policy last week misled the gathering by the river and stopped the rebellion quickly .,11,4,singular
my young colleagues married my cousin by the river and accepted the offer .,9,4,plural
the quite cheerful child smelled the disastrous fragrance and the gas by the river and hung the yellow shirts .,14,4,singular
the scientist efficiently invented the extremely convenient principles and the principles by the end of the day and improved the rather famous equations wearily .,17,7,singular
the uptight teenagers last month envied the cheerful toddler and the child by the river and exchanged the book last week .,15,4,plural
the driven directors last month encouraged the employee little by little and warned the outrageous rebellion gloomily .,11,4,plural
my colleague last week fancied my short partners by the river and spilled the soda last month .,11,4,singular
the competent secretary phoned my colleagues by himself and returned the book last week .,8,3,singular
the director last week observed the extremely outrageous revolution by the river and crushed the scandalous rebellion .,12,4,singular
the rather nervous researcher reused the really convenient procedure and the famous principles by the end of the day and discovered the outrageous truth last week .,19,7,singular
my short cousin chewed the fish by the river and spilled the clear soda last week .,9,4,singular
the witty preschooler last month ignored the timid parent and the extremely witty guardian by the river and hated the rich potatoes last week .,17,4,singular
the timid waitress last week inhaled the gas by the river and refused the dessert last month .,11,4,singular
my colleague fancied my partner by the river and folded the rather yellow shirts happily .,8,4,singular
my quite chubby cousin fancied my partner by the river and joined the revolution happily .,10,4,singular
the policy last week misled the employees by the river and stopped the quite famous revolution promptly .,10,4,singular
the actor last week envied the quite cheerful children and the child by the river and enjoyed the really majestic sculptures last month .,15,4,singular
the competent gathering betrayed the obnoxious politician by the end of the day and welcomed the truth .,13,7,singular
my obnoxious colleague happily married my young partner by the end of the day and googled the books promptly .,14,7,singular
the physician last month reused the principle by the end of the day and studied the procedure .,13,7,singular
the quite timid clerk happily suggested the scandalous policies by the river and framed the photographs .,12,4,singular
the quite timid children last month hit the rather witty guardian by the river and found the rather yellow butterflies last month .,14,4,plural
the cheerful actors last month envied the child by the river and rolled the shirt .,11,4,plural
the scandalous strategies misled the gathering and the employee by the river and supported the fierce revolution last month .,12,4,plural
the parent gloomily inhaled the gas and the fumes by the river and refused the dessert last week .,12,4,singular
the scientists quickly studied the convenient principle by themselves and improved the equation efficiently .,9,3,plural
the scientist received the really convenient formula by email and read the really outrageous book quickly .,9,3,singular
the uptight politician last month avoided the employees and the competent team by the artist and warned the scandalous revolution .,15,4,singular
the actor envied the timid preschooler by the river and returned the really scandalous book .,9,4,singular
the preschooler happily smelled the disastrous gas by the river and created the rather majestic sculpture .,10,4,singular
the toddlers hit the witty parent by the river and stored the quite shiny coin .,9,4,plural
the witty physician misused the quite famous principle by the end of the day and solved the rather famous equation .,14,7,singular
the politician avoided the startled gathering by the artist and crushed the revolution .,9,4,singular
the secretaries phoned my rather uptight cousin and the colleague by the end of the day and lost the extremely gorgeous photograph .,16,7,plural
the witty preschoolers happily hugged the guardian by the river and kicked the butterflies .,10,4,plural
the really cheerful nurse studied the principle and the quite convenient procedure by the end of the day and accepted the interesting offers .,18,7,singular
my obnoxious colleague last week inhaled the rather disastrous fragrance and my disastrous fumes by mistake and wanted the dessert .,16,3,singular
the timid gathering worshiped the directors by the end of the day and endorsed the revolution happily .,12,7,singular
the child happily smelled the disastrous fragrance by the river and wasted the soda last week .,10,4,singular
the gorgeous country happily endorsed the rebellion by the river and detected the flaw .,10,4,singular
the really short preschooler gloomily colored the novel and the really gorgeous sculptures by himself and found the shiny coin efficiently .,15,3,singular
my cousin sadly married my obnoxious partner and my colleague by the river and cut the green shirt happily .,13,4,singular
my cousin fancied my colleagues and my colleague by the river and rolled the shirt .,11,4,singular
the quite timid scientist gloomily introduced the famous principle by himself and taught the equation .,11,3,singular
my partners married my witty colleague and my cheerful cousin by the end of the day and lost the gorgeous photograph last month .,16,7,plural
the child ignored the guardian by the river and wanted the rather rich dessert .,8,4,singular
the witty guardian quickly covered the bottles and the cup by the river and framed the extremely majestic photograph wearily .,13,4,singular
the quite timid parents wearily accompanied my obnoxious cousin by themselves and closed the extremely green door quickly .,11,3,plural
the obnoxious politician encouraged the rather startled gathering little by little and destroyed the movement .,11,4,singular
my colleagues accompanied the preschooler and my really witty child by themselves and opened the door .,12,3,plural
my partners deleted the extremely famous book and my article by the artist and bought the yellow shirt .,13,4,plural
the toddlers happily smelled the fumes by the river and tied the shiny string efficiently .,9,4,plural
the competent principals happily met the team by the end of the day and proposed the budgets .,13,7,plural
my really obnoxious partners last week fancied my cousin by the river and filled the green cup efficiently .,12,4,plural
the extremely nervous secretary suggested the policy by the artist and planned the movement last week .,10,4,singular
the timid clerks last month phoned my really witty partner by themselves and shared the article wearily .,12,3,plural
the preschoolers wasted the syrup by the river and created the novels .,8,4,plural
the directors last week helped the extremely outrageous rebellion by the artist and crushed the scary movement quickly .,12,4,plural
my cousin fancied my partners by the river and spilled the clear juice last month .,8,4,singular
the preschooler last month ignored the really cheerful parents and the parent by the river and wanted the rich dessert .,15,4,singular
the guardian accompanied the child by himself and framed the photograph .,7,3,singular
the physician last month misused the famous procedures by the end of the day and detected the flaws .,14,7,singular
the famous library efficiently installed the disastrous device and the disastrous equipment by the river and displayed the majestic novel .,15,4,singular
the student last month envied the really witty toddlers and the witty toddler by the river and returned the famous article last week .,16,4,singular
the quite timid gathering worshiped the politicians and the politician by the end of the day and welcomed the outrageous truth last month .,16,7,singular
the nurse recognized the convenient formula by himself and read the famous articles .,8,3,singular
the employees worshiped the driven principal by the end of the day and endorsed the scandalous revolution happily .,12,7,plural
the driven principal avoided the team by the artist and joined the revolution .,9,4,singular
the witty teenager last month envied the cheerful toddler and the preschoolers by the river and enjoyed the novel .,15,4,singular
the quite chubby child last week accompanied the chubby guardians by himself and captured the giraffes quickly .,12,3,singular
my rather uptight colleague accompanied the preschooler by himself and burned the photograph .,9,3,singular
my colleague wearily approached the museums by the river and chewed the rich potatoes .,9,4,singular
my obnoxious colleague fancied my cousins by the river and lost the photograph last week .,9,4,singular
the team obeyed the quite uptight politician by the end of the day and welcomed the truth .,13,7,singular
the toddler hit the guardian and the chubby parents by the river and folded the shirts .,12,4,singular
the assistant shared the famous articles by the artist and returned the rather scandalous book last month .,9,4,singular
the nervous toddler licked the potatoes by himself and kicked the extremely green butterfly wearily .,8,3,singular
the cheerful toddlers happily colored the novel by themselves and chewed the potatoes .,9,3,plural
my nervous cousin happily married my young partner by the river and deleted the books gloomily .,11,4,singular
the timid toddler happily smelled the fragrance and the disastrous gas by the river and captured the really startled giraffe quickly .,14,4,singular
the director quickly destroyed the movement and the scandalous revolution day by day and presented the quite interesting budget happily .,13,4,singular
my cousins fancied my nervous colleague by the river and cut the shirt .,9,4,plural
the actor envied the toddler and the witty preschooler by the river and discussed the majestic sculptures .,12,4,singular
the student last week envied the toddler and the children by the river and planned the revolution last week .,13,4,singular
the timid assistant phoned the principal by himself and framed the photographs gloomily .,8,3,singular
the child last week spilled the juice and the extremely clear soda by the river and found the butterfly .,15,4,singular
the team last week betrayed the extremely competent principal and the really competent director by mistake and welcomed the famous revolution last month .,16,3,singular
the scientists last month challenged the convenient principle and the procedure by themselves and detected the flaw efficiently .,13,3,plural
the researcher reused the famous principle and the procedure by the end of the day and taught the famous procedures last month .,15,7,singular
the toddler colored the really majestic novel little by little and healed the cats last week .,10,4,singular
the director warned the rather famous revolution and the scary movement by the river and crushed the extremely fierce rebellion .,14,4,singular
the physician reused the famous principle by the end of the day and misused the convenient procedures .,12,7,singular
