sentence, rc_startpos, rc_length, subj_num
the quite short toddler hated the fish and the potatoes and healed the cats quickly .,10,1,singular
the competent nurse quickly read the quite famous papers and the papers and conveyed the information .,12,1,singular
that quite talented secretary answered the interesting letter and lost the photographs last week .,8,1,singular
that talented employee happily celebrated the achievement and worshiped the extremely uptight principals .,7,1,singular
that nurse introduced the rather famous equation and invented the rather famous formulae .,7,1,singular
that rather cheerful partner wearily joined the extremely famous rebellion and burned the gorgeous photograph gloomily .,10,1,singular
the principals last month watched the fierce revolution and the rebellion and warned that extremely outrageous movement wearily .,11,1,plural
that competent secretary happily phoned the talented politicians and guarded the budgets .,8,1,singular
that politician last month encouraged the employee and supported the famous rebellion happily .,7,1,singular
that preschooler gloomily inhaled the extremely disastrous gas and chewed the rich potato .,8,1,singular
my witty partners married my colleague and my witty cousins and fancied that extremely short cousin .,10,1,plural
the child last month hit the guardian and the rather cheerful parent and valued the really green butterfly .,12,1,singular
that quite timid researcher taught the famous procedure and reviewed the equation efficiently .,8,1,singular
the toddler last month ignored the short guardians and the witty guardian and hugged the young parent happily .,12,1,singular
that competent clerk phoned my cousin and resolved the really disastrous flaws .,6,1,singular
the chubby children happily accompanied my really timid cousin and saved that cat .,9,1,plural
the talented physician happily reviewed the quite famous procedure and the principle and improved the equation sadly .,12,1,singular
the director gloomily avoided the quite driven team and the gathering and watched the scary rebellion last week .,11,1,singular
that gathering worshiped the really obnoxious politician and welcomed the scandalous truth .,7,1,singular
that partner fancied my colleague and hung the quite yellow shirts .,5,1,singular
my partner married my cousins and my colleague and rolled the shirt efficiently .,8,1,singular
that partner happily accompanied the children and googled the rather scandalous papers promptly .,6,1,singular
the uptight teenagers enjoyed the novel and returned that outrageous paper .,6,1,plural
that museum efficiently installed the devices and displayed the sculptures .,6,1,singular
that really talented nurse misused the quite famous principle and received the famous equation .,9,1,singular
the quite outrageous policy last week misled the rather timid employee and the competent team and supported the rebellion .,15,1,singular
the actors last week envied the child and discussed that majestic sculpture .,7,1,plural
that assistant happily phoned my uptight partner and managed the budget .,7,1,singular
that preschooler last week hit the timid guardian and captured the giraffe quickly .,8,1,singular
