sentence, rc_startpos, rc_length, subj_num
the fish that quite short toddler and the preschoolers hated satisfied the really witty child last month .,2,8,singular
the quite famous papers that competent nurse and the physicians quickly read spread the information .,4,8,plural
the interesting letter that quite talented secretary answered encouraged the gathering .,3,5,singular
the achievement that talented employee happily celebrated destroyed the rebellion .,2,5,singular
the rather famous equation that nurse introduced challenged the rather convenient procedure .,4,3,singular
the extremely famous rebellion that rather cheerful partner wearily joined misled the employee last week .,4,6,singular
the fierce revolution the principals and the director last month watched shaped that budget .,3,8,singular
the talented politicians that competent secretary happily phoned presented the budget sadly .,3,5,plural
the employee that politician last month encouraged obeyed the extremely competent principal .,2,5,singular
the extremely disastrous gas that preschooler gloomily inhaled harmed the really startled giraffe last week .,4,4,singular
my colleague my witty partners and my really chubby cousin married wanted that dessert last week .,2,9,singular
the guardian that child and the preschooler last month hit refused the really tasty dessert .,2,8,singular
the famous procedure that quite timid researcher taught improved the extremely famous equation gloomily .,3,5,singular
the short guardians that toddler and the cheerful preschooler last month ignored folded the green shirt .,3,9,plural
my cousin that competent clerk phoned cut the shirt happily .,2,4,singular
my really timid cousin the chubby children happily accompanied planned that quite scary rebellion last month .,4,5,singular
the quite famous procedure that talented physician and the researcher happily reviewed improved the equation happily .,4,8,singular
the quite driven team that director and the competent principals gloomily avoided endorsed the scandalous rebellion .,4,8,singular
the really obnoxious politician that gathering worshiped proposed the interesting budget .,4,3,singular
my colleague that partner fancied filled the rather shiny bottle efficiently .,2,3,singular
my cousins that partner and my colleagues married approached the famous library quickly .,2,6,plural
the children that partner happily accompanied colored the sculpture efficiently .,2,4,plural
the novel the uptight teenagers enjoyed helped that extremely famous rebellion last week .,2,4,singular
the devices that museum efficiently installed polluted the gorgeous region .,2,4,plural
the quite famous principle that really talented nurse misused fixed the flaw promptly .,4,5,singular
the rather timid employee that quite outrageous policy and the strategy last week misled betrayed the uptight politician last week .,4,10,singular
the child the actors last week envied sorted that coin .,2,5,singular
my uptight partner that assistant happily phoned deleted the famous paper gloomily .,3,4,singular
the timid guardian that preschooler last week hit framed the photograph happily .,3,5,singular
the outrageous article the timid scientists and the competent researcher read spread that interesting information quickly .,3,8,singular
the victory that competent principal celebrated destroyed the extremely famous rebellion quickly .,2,4,singular
the parent the guardians last month accompanied opened that door .,2,5,singular
the gathering that outrageous policy last week misled endorsed the rather fierce rebellion happily .,2,6,singular
my cousin my young colleagues married joined that rebellion happily .,2,4,singular
the disastrous fragrance that quite cheerful child and the witty preschoolers smelled killed the giraffe quickly .,3,9,singular
the extremely convenient principles that scientist and the extremely cheerful researcher efficiently invented improved the famous equation .,4,9,plural
the cheerful toddler the uptight teenagers and the actor last month envied created that gorgeous sculpture .,3,9,singular
the employee the driven directors last month encouraged celebrated that victory .,2,6,singular
