sentence, rc_startpos, rc_length, subj_num
the fish that the quite short toddler and the preschoolers hated by the river satisfied the really witty child last month .,2,12,singular
the quite famous papers that the competent nurse and the physicians quickly read by the river spread the information .,4,12,plural
the interesting letter that the quite talented secretary answered by himself encouraged the gathering .,3,8,singular
the achievement that the talented employee happily celebrated by the river destroyed the rebellion .,2,9,singular
the rather famous equation that the nurse introduced by himself challenged the rather convenient procedure .,4,6,singular
the extremely famous rebellion that my rather cheerful partner wearily joined by the artist misled the employee last week .,4,10,singular
the fierce revolution that the principals and the director last month watched by the artist shaped the budget .,3,12,singular
the talented politicians that the competent secretary happily phoned by the end of the day presented the budget sadly .,3,12,plural
the employee that the politician last month encouraged little by little obeyed the extremely competent principal .,2,9,singular
the extremely disastrous gas that the preschooler gloomily inhaled by mistake harmed the really startled giraffe last week .,4,7,singular
my colleague that my witty partners and my really chubby cousin married by the end of the day wanted the dessert last week .,2,16,singular
the guardian that the child and the preschooler last month hit by himself refused the really tasty dessert .,2,11,singular
the famous procedure that the quite timid researcher taught by himself improved the extremely famous equation gloomily .,3,8,singular
the short guardians that the toddler and the cheerful preschooler last month ignored by the river folded the green shirt .,3,13,plural
my cousin that the competent clerk phoned by the end of the day cut the shirt happily .,2,11,singular
my really timid cousin that the chubby children happily accompanied by themselves planned the quite scary rebellion last month .,4,8,singular
the quite famous procedure that the talented physician and the researcher happily reviewed by himself improved the equation happily .,4,11,singular
the quite driven team that the director and the competent principals gloomily avoided by the artist endorsed the scandalous rebellion .,4,12,singular
the really obnoxious politician that the gathering worshiped by the end of the day proposed the interesting budget .,4,10,singular
my colleague that my partner fancied by the river filled the rather shiny bottle efficiently .,2,7,singular
my cousins that my partner and my colleagues married by the end of the day approached the famous library quickly .,2,13,plural
the children that my partner happily accompanied by himself colored the sculpture efficiently .,2,7,plural
the novel that the uptight teenagers enjoyed by the artist helped the extremely famous rebellion last week .,2,8,singular
the devices that the museum efficiently installed by the river polluted the gorgeous region .,2,8,plural
the quite famous principle that the really talented nurse misused by the end of the day fixed the flaw promptly .,4,12,singular
the rather timid employee that the quite outrageous policy and the strategy last week misled by the river betrayed the uptight politician last week .,4,14,singular
the child that the actors last week envied by the river sorted the coin .,2,9,singular
my uptight partner that the assistant happily phoned by the end of the day deleted the famous paper gloomily .,3,11,singular
the timid guardian that the preschooler last week hit by himself framed the photograph happily .,3,8,singular
the outrageous article that the timid scientists and the competent researcher read by the end of the day spread the interesting information quickly .,3,15,singular
