sentence, rc_startpos, rc_length, subj_num
the fish hated that quite short toddler and the preschoolers and satisfied the really witty child last month .,10,1,singular
the quite famous papers quickly read that competent nurse and the physicians and spread the information .,12,1,plural
the interesting letter answered that quite talented secretary and encouraged the gathering .,8,1,singular
the achievement happily celebrated that talented employee and destroyed the rebellion .,7,1,singular
the rather famous equation introduced that nurse and challenged the rather convenient procedure .,7,1,singular
the extremely famous rebellion wearily joined that rather cheerful partner and misled the employee last week .,10,1,singular
the fierce revolution last month watched the principals and the director and shaped that budget .,11,1,singular
the talented politicians happily phoned that competent secretary and presented the budget sadly .,8,1,plural
the employee last month encouraged that politician and obeyed the extremely competent principal .,7,1,singular
the extremely disastrous gas gloomily inhaled that preschooler and harmed the really startled giraffe last week .,8,1,singular
my colleague married my witty partners and my really chubby cousin and wanted that dessert last week .,11,1,singular
the guardian last month hit that child and the preschooler and refused the really tasty dessert .,10,1,singular
the famous procedure taught that quite timid researcher and improved the extremely famous equation gloomily .,8,1,singular
the short guardians last month ignored that toddler and the cheerful preschooler and folded the green shirt .,12,1,plural
my cousin phoned that competent clerk and cut the shirt happily .,6,1,singular
my really timid cousin happily accompanied the chubby children and planned that quite scary rebellion last month .,9,1,singular
the quite famous procedure happily reviewed that talented physician and the researcher and improved the equation happily .,12,1,singular
the quite driven team gloomily avoided that director and the competent principals and endorsed the scandalous rebellion .,12,1,singular
the really obnoxious politician worshiped that gathering and proposed the interesting budget .,7,1,singular
my colleague fancied that partner and filled the rather shiny bottle efficiently .,5,1,singular
my cousins married that partner and my colleagues and approached the famous library quickly .,8,1,plural
the children happily accompanied that partner and colored the sculpture efficiently .,6,1,plural
the novel enjoyed the uptight teenagers and helped that extremely famous rebellion last week .,6,1,singular
the devices efficiently installed that museum and polluted the gorgeous region .,6,1,plural
the quite famous principle misused that really talented nurse and fixed the flaw promptly .,9,1,singular
the rather timid employee last week misled that quite outrageous policy and the strategy and betrayed the uptight politician last week .,14,1,singular
the child last week envied the actors and sorted that coin .,7,1,singular
my uptight partner happily phoned that assistant and deleted the famous paper gloomily .,7,1,singular
the timid guardian last week hit that preschooler and framed the photograph happily .,8,1,singular
the outrageous article read the timid scientists and the competent researcher and spread that interesting information quickly .,11,1,singular
the victory celebrated that competent principal and destroyed the extremely famous rebellion quickly .,6,1,singular
the parent last month accompanied the guardians and opened that door .,7,1,singular
the gathering last week misled that outrageous policy and endorsed the rather fierce rebellion happily .,8,1,singular
my cousin married my young colleagues and joined that rebellion happily .,6,1,singular
the disastrous fragrance smelled that quite cheerful child and the witty preschoolers and killed the giraffe quickly .,12,1,singular
the extremely convenient principles efficiently invented that scientist and the extremely cheerful researcher and improved the famous equation .,13,1,plural
the cheerful toddler last month envied the uptight teenagers and the actor and created that gorgeous sculpture .,12,1,singular
the employee last month encouraged the driven directors and celebrated that victory .,8,1,singular
my short partners last week fancied that colleague and lost the majestic photograph last month .,8,1,plural
my colleagues phoned that competent secretary and filled the bottle .,6,1,plural
the extremely outrageous revolution last week observed that director and shaped the budget .,9,1,singular
the really convenient procedure reused that rather nervous researcher and the scientist and fixed the disastrous flaw .,12,1,singular
the fish chewed that short cousin and satisfied the toddler .,6,1,singular
the timid parent last month ignored that witty preschooler and the nervous child and confiscated the coin .,13,1,singular
the gas last week inhaled that timid waitress and harmed the giraffe .,8,1,singular
my partner fancied that colleague and hung the yellow shirt last week .,5,1,singular
my partner fancied that quite chubby cousin and joined the revolution .,7,1,singular
the employees last week misled that policy and betrayed the uptight politician .,7,1,plural
the quite cheerful children last week envied that actor and the student and tied the string efficiently .,12,1,plural
the obnoxious politician betrayed that competent gathering and helped the revolution last month .,7,1,singular
my young partner happily married that obnoxious colleague and deleted the famous book .,8,1,singular
the principle last month reused that physician and fixed the flaw quickly .,7,1,singular
the scandalous policies happily suggested that quite timid clerk and supported the revolution sadly .,9,1,plural
the rather witty guardian last month hit the quite timid children and sorted that shiny coin happily .,11,1,singular
the child last month envied the cheerful actors and hated that coin last week .,8,1,singular
the gathering misled the scandalous strategies and the strategies and welcomed that outrageous truth .,9,1,singular
the gas gloomily inhaled that parent and the really witty guardians and polluted the quite majestic region last month .,11,1,singular
the convenient principle quickly studied the scientists and improved that equation .,7,1,singular
the really convenient formula received that scientist and challenged the famous principle .,7,1,singular
the employees last month avoided that uptight politician and the principals and obeyed the director happily .,11,1,plural
the timid preschooler envied that actor and hated the coin last week .,6,1,singular
the disastrous gas happily smelled that preschooler and harmed the startled giraffe last week .,7,1,singular
the witty parent hit the toddlers and covered that shiny bottle .,6,1,singular
the quite famous principle misused that witty physician and improved the really famous equation gloomily .,8,1,singular
the startled gathering avoided that politician and obeyed the principal happily .,6,1,singular
my rather uptight cousin phoned the secretaries and the quite competent clerks and painted that yellow door .,12,1,singular
the guardian happily hugged the witty preschoolers and tied that yellow string efficiently .,7,1,singular
the principle studied that really cheerful nurse and the fierce scientist and improved the extremely famous equation .,11,1,singular
